timestamp,dx_cm,ax,right,left
1783247510.3889863,13.747590118257856,-48.87855296323556,True,False
1783247510.40428,13.747590118257856,0.0,True,False
1783247510.4206955,13.747590118257856,0.0,True,False
1783247510.4366834,14.915626101881058,3.6538860041799657,True,False
1783247510.4528158,14.915626101881058,0.0,True,False
1783247510.4683118,14.915626101881058,0.0,True,False
1783247510.4844964,12.739659357640424,-100.23049971343445,True,False
1783247510.5001807,12.739659357640424,0.0,True,False
1783247510.516315,0.0,72.42487032817465,True,False
1783247510.532531,0.0,0.0,True,False
1783247510.5482066,0.0,0.0,True,False
1783247510.5647283,0.0,0.0,True,False
1783247510.5805316,0.0,0.0,True,False
1783247510.597077,0.0,0.0,True,False
1783247510.6125495,-8.766016830370328,-195.96962101351707,True,False
1783247510.628208,-8.766016830370328,0.0,True,False
1783247510.6445482,-8.766016830370328,0.0,True,False
1783247510.6607125,-7.974379744757914,213.33155927471432,True,False
1783247510.676663,-7.974379744757914,0.0,True,False
1783247510.6927154,-7.204861028977813,-0.09121062232034545,True,False
1783247510.7092838,-7.204861028977813,0.0,True,False
1783247510.7253778,-6.754839945433416,-10.467900075622314,True,False
1783247510.7421575,-6.754839945433416,0.0,True,False
1783247510.7590077,-6.754839945433416,0.0,True,False
1783247510.7744753,-5.974287718114678,10.382352770764383,True,False
1783247510.7906907,-5.974287718114678,0.0,True,False
1783247510.8066366,-5.176818245209326,1.0349690314205928,True,False
1783247510.8228624,-5.176818245209326,0.0,True,False
1783247510.8382618,-5.176818245209326,0.0,True,False
1783247510.8546736,-4.662109311508074,-9.341220132723349,True,False
1783247510.8706036,-4.662109311508074,0.0,True,False
1783247510.8862982,-3.9419559701017706,7.014419840400422,True,False
1783247510.9030676,-3.9419559701017706,0.0,True,False
1783247510.918185,-2.720162954350275,18.649884081368377,True,False
1783247510.9349957,-2.720162954350275,0.0,True,False
1783247510.95034,-2.720162954350275,0.0,True,False
1783247510.9664443,-1.6805935314368603,-5.637164438525373,True,False
1783247510.9821537,-1.6805935314368603,0.0,True,False
1783247510.9991503,-1.6805935314368603,0.0,True,False
1783247511.015606,-0.8035698125922354,-12.76605482670959,True,False
1783247511.0320857,-0.8035698125922354,0.0,True,False
1783247511.0490365,-0.8035698125922354,0.0,True,False
1783247511.0644112,-0.4393823810886227,-14.019937886742024,True,False
1783247511.081218,-0.4393823810886227,0.0,True,False
1783247511.0976732,-0.4393823810886227,0.0,True,False
1783247511.113887,-0.0806618687979674,0.23162449512602726,True,False
1783247511.1301172,-0.0806618687979674,0.0,True,False
1783247511.146467,-0.0806618687979674,0.0,True,False
1783247511.1632757,0.3911483612670233,2.6558719038405174,True,False
1783247511.1795678,0.3911483612670233,0.0,True,False
1783247511.195947,0.3911483612670233,0.0,True,False
1783247511.2122698,0.5840762423320218,-6.732276170484275,True,False
1783247511.2283072,0.5840762423320218,0.0,True,False
1783247511.2443666,0.5840762423320218,0.0,True,False
1783247511.2607806,1.302411304530479,12.716560482849005,True,False
1783247511.2763722,1.302411304530479,0.0,True,False
1783247511.2926881,1.302411304530479,0.0,True,False
1783247511.3089032,1.302411304530479,0.0,True,False
1783247511.3252945,1.692601336865224,-8.37353708445938,True,False
1783247511.3411944,1.692601336865224,0.0,True,False
1783247511.3576632,1.692601336865224,0.0,True,False
1783247511.373373,2.81647609075768,17.70144906258258,True,False
1783247511.3900774,2.81647609075768,0.0,True,False
1783247511.4059477,2.81647609075768,0.0,True,False
1783247511.422273,3.67398200189284,-5.750652091884081,True,False
1783247511.4386463,3.67398200189284,0.0,True,False
1783247511.4549835,3.67398200189284,0.0,True,False
1783247511.470899,5.2853609705080355,19.099484805939767,True,False
1783247511.4865239,5.2853609705080355,0.0,True,False
1783247511.5024981,5.2853609705080355,0.0,True,False
1783247511.51848,5.988856820500272,-22.321659743887373,True,False
1783247511.5342457,5.988856820500272,0.0,True,False
1783247511.5505092,5.988856820500272,0.0,True,False
1783247511.566775,7.264502010896753,13.679863205517242,True,False
1783247511.5822506,7.264502010896753,0.0,True,False
1783247511.5985067,7.264502010896753,0.0,True,False
1783247511.614695,7.264502010896753,0.0,True,False
1783247511.6307874,7.899972471654611,-16.217601960006782,True,False
1783247511.6467822,7.899972471654611,0.0,True,False
1783247511.662495,7.899972471654611,0.0,True,False
1783247511.6789556,9.98298346689084,29.272740396842412,True,False
1783247511.6953413,9.98298346689084,0.0,True,False
1783247511.7121508,9.98298346689084,0.0,True,False
1783247511.7277606,11.074413112393467,-18.604675519246214,True,False
1783247511.7432666,11.074413112393467,0.0,True,False
1783247511.7595181,11.074413112393467,0.0,True,False
1783247511.775429,11.074413112393467,0.0,True,False
1783247511.792246,12.93141834492895,15.414174032339387,True,False
1783247511.807545,12.93141834492895,0.0,True,False
1783247511.823926,12.93141834492895,0.0,True,False
1783247511.839287,13.942094646742282,-21.65900087260019,True,False
1783247511.8560135,13.942094646742282,0.0,True,False
1783247511.8719623,13.942094646742282,0.0,True,False
1783247511.8875144,15.211171983089825,8.222604703540181,True,False
1783247511.903553,15.211171983089825,0.0,True,False
1783247511.919424,15.211171983089825,0.0,True,False
1783247511.935679,16.72221033116709,14.505335947292606,True,False
1783247511.951544,16.72221033116709,0.0,True,False
1783247511.9681945,16.72221033116709,0.0,True,False
1783247511.9851444,18.023161920804323,-14.854875061016198,True,False
1783247512.001081,18.023161920804323,0.0,True,False
1783247512.0165527,18.023161920804323,0.0,True,False
1783247512.0328355,18.023161920804323,0.0,True,False
1783247512.0483906,20.614848606024744,32.74618086702521,True,False
1783247512.0652668,20.614848606024744,0.0,True,False
1783247512.0816362,0.0,-59.43372816224271,True,False
1783247512.0975525,0.0,0.0,True,False
1783247512.1140928,0.0,0.0,True,False
1783247512.129599,0.0,0.0,True,False
1783247512.146123,0.0,0.0,True,False
1783247512.1618228,0.0,0.0,True,False
1783247512.1784685,0.0,0.0,True,False
1783247512.194101,0.0,0.0,True,False
1783247512.2099535,0.0,0.0,True,False
1783247512.2262158,0.0,0.0,True,False
1783247512.2418296,0.0,0.0,True,False
1783247512.2579834,0.0,0.0,True,False
1783247512.2737987,0.0,0.0,True,False
1783247512.2896428,0.0,0.0,True,False
1783247512.306109,0.0,0.0,True,False
1783247512.3218153,0.0,0.0,True,False
1783247512.337209,0.0,0.0,True,False
1783247512.3540277,0.0,0.0,True,False
1783247512.3684738,0.0,0.0,True,False
1783247512.384877,0.0,0.0,True,False
1783247512.400495,0.0,0.0,True,False
1783247512.4165428,0.0,0.0,True,False
1783247512.432768,0.0,0.0,True,False
1783247512.4488058,0.0,0.0,True,False
1783247512.464552,0.0,0.0,True,False
1783247512.4808311,0.0,0.0,True,False
1783247512.4962752,0.0,0.0,True,False
1783247512.512514,0.0,0.0,True,False
1783247512.5283167,0.0,0.0,True,False
1783247512.545322,0.0,0.0,True,False
1783247512.56215,0.0,0.0,True,False
1783247512.5784097,0.0,0.0,True,False
1783247512.5943756,0.0,0.0,True,False
1783247512.6113691,2.6074041858290036,-36.87215043688459,True,False
1783247512.6262944,2.6074041858290036,0.0,True,False
1783247512.643256,2.6074041858290036,0.0,True,False
1783247512.6603458,2.7337655295821977,39.565893159777254,True,False
1783247512.6771612,2.7337655295821977,0.0,True,False
1783247512.6922545,2.7337655295821977,0.0,True,False
1783247512.7087595,2.6215245434646803,-5.584431089117346,True,False
1783247512.7249112,2.6215245434646803,0.0,True,False
1783247512.7412083,2.6215245434646803,0.0,True,False
1783247512.757779,2.5338212654610115,0.5392972182263809,True,False
1783247512.7739336,2.5338212654610115,0.0,True,False
1783247512.7900972,2.5338212654610115,0.0,True,False
1783247512.805419,2.5338212654610115,0.0,True,False
1783247512.8214567,2.4517057225645087,0.16723808505513932,True,False
1783247512.838266,2.4517057225645087,0.0,True,False
1783247512.8544583,2.4517057225645087,0.0,True,False
1783247512.8712997,2.1377897846412615,-5.5469370646167135,True,False
1783247512.887537,2.1377897846412615,0.0,True,False
1783247512.9038541,2.1377897846412615,0.0,True,False
1783247512.9202893,1.913724627241248,2.621516039079341,True,False
1783247512.9359941,1.913724627241248,0.0,True,False
1783247512.9522095,1.913724627241248,0.0,True,False
1783247512.968049,2.1001828171713544,9.866092704709997,True,False
1783247512.9834058,2.1001828171713544,0.0,True,False
1783247513.0011618,2.1001828171713544,0.0,True,False
1783247513.0172486,2.147231546773695,-3.553586388574824,True,False
1783247513.0341518,2.147231546773695,0.0,True,False
1783247513.0498712,2.147231546773695,0.0,True,False
1783247513.0660498,2.2932889016803113,2.470880323707174,True,False
1783247513.081617,2.2932889016803113,0.0,True,False
1783247513.0980039,2.2932889016803113,0.0,True,False
1783247513.1140838,2.6203465884961425,4.376461244917686,True,False
1783247513.129749,2.6203465884961425,0.0,True,False
1783247513.1455011,2.6203465884961425,0.0,True,False
1783247513.1615596,2.6203465884961425,0.0,True,False
1783247513.177751,2.704014615633231,-6.029726414421405,True,False
1783247513.1939452,2.704014615633231,0.0,True,False
1783247513.2099671,2.704014615633231,0.0,True,False
1783247513.2267566,2.835848919394093,1.2257634561381843,True,False
1783247513.2414577,2.835848919394093,0.0,True,False
1783247513.2572367,2.835848919394093,0.0,True,False
1783247513.2741897,3.1367046591533474,3.8336736618601392,True,False
1783247513.2896085,3.1367046591533474,0.0,True,False
1783247513.3057697,3.1401962384959874,-7.100555083579188,True,False
1783247513.322032,3.1401962384959874,0.0,True,False
1783247513.3377936,3.1401962384959874,0.0,True,False
1783247513.3540359,3.1401962384959874,0.0,True,False
1783247513.3693454,3.492259795015727,8.668262198934487,True,False
1783247513.384942,3.492259795015727,0.0,True,False
1783247513.4006467,3.6797600220333857,-2.2671794825908878,True,False
1783247513.416286,3.6797600220333857,0.0,True,False
1783247513.4332957,3.6797600220333857,0.0,True,False
1783247513.4503386,4.301771592176362,8.81911642286604,True,False
1783247513.4666066,4.301771592176362,0.0,True,False
1783247513.48255,4.301771592176362,0.0,True,False
1783247513.4983573,4.8706694748277055,-1.8444686369723022,True,False
1783247513.5145183,4.8706694748277055,0.0,True,False
1783247513.5310657,4.8706694748277055,0.0,True,False
1783247513.5462608,5.619057490710652,4.032861449945145,True,False
1783247513.563274,5.619057490710652,0.0,True,False
1783247513.5795994,5.619057490710652,0.0,True,False
